Rank,Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,Career
22,Jon Lester,,,,"$196,903.00","$384,000.00","$421,500.00","$1,000,000.00","$3,800,000.00","$5,800,000.00","$7,625,000.00","$11,625,000.00","$13,050,000.00","$30,000,000.00","$20,000,000.00","$20,000,000.00","$22,500,000.00","$25,000,000.00","$28,055,556.00","$2,000,000.00",,"$3,000,000.00",,,,,,,,,,,,,,,,,"$194,457,959"
23,Chris Young,,,,,"$380,000.00","$406,000.00","$1,950,000.00","$3,450,000.00","$5,200,000.00","$7,200,000.00","$8,700,000.00","$8,323,770.00","$2,500,000.00","$6,500,000.00","$6,500,000.00","$2,000,000.00",,,,,,,,,,,,,,,,,,,,,,"$53,109,770"
24,Bobby Jenks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
25,Troy Tulowitzki,,,,"$68,706.00","$381,000.00","$750,000.00","$1,000,000.00","$3,600,000.00","$5,575,000.00","$8,275,000.00","$10,025,000.00","$16,025,000.00","$21,999,999.00","$20,000,000.00","$20,000,000.00","$20,000,000.00","$19,999,985.00","$14,000,000.00","$4,000,000.00",,,,,,,,,,,,,,,,,,,"$165,699,690"
26,Joel Guzman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
27,Felix Pie,,,,,,"$401,500.00","$410,000.00",,"$985,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,796,500"
28,Daric Barton,"$975,000.00",,,,,,,,,,,"$1,250,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$2,225,000"
29,Billy Butler,,,,,,"$399,000.00","$421,000.00","$470,000.00","$5,000,000.00","$8,000,000.00","$8,000,000.00","$8,000,000.00","$11,000,000.00","$10,049,914.00","$10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"$61,339,914"
30,Hanley Ramirez,,,,"$327,000.00","$402,000.00","$439,000.00","$5,550,000.00","$7,050,000.00","$11,000,000.00","$15,000,000.00","$15,500,000.00","$16,000,000.00","$22,000,000.00","$22,000,000.00","$22,000,000.00","$22,000,000.00","$123,648.00",,,,,,,,,,,,,,,,,,,,,"$159,391,648"
31,Cameron Maybin,,,,,"$91,935.00","$390,000.00","$400,000.00","$405,000.00","$429,100.00","$1,000,000.00","$3,000,000.00","$5,000,000.00","$7,000,000.00","$8,000,000.00","$9,000,000.00","$3,250,000.00","$471,472.00","$555,556.00","$36,804.00",,,,,,,,,,,,,,,,,,,"$39,029,867"
