Rank,Name,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,Total
80,Jake Lamb,,,"$500,000","$508,500","$520,300","$573,300","$4,275,000","$4,825,000","$2,084,351","$2,026,831","$997,282","$288,960",,,,,,,,,,,,,,,,,,,,,"$16,599,524"
81,Aaron Blair,,,,,"$249,570","$11,692",,,,,,,,,,,,,,,,,,,,,,,,,,,"$261,262"
82,Michael Conforto,,,,"$202,445","$395,640","$554,904","$605,094","$4,025,000","$2,962,963","$12,250,000",,"$18,000,000","$18,000,000","$17,000,000","$2,000,000",,,,,,,,,,,,,,,,,,"$75,996,046"
83,Jake Thompson,,,,,"$160,834","$128,612","$85,608",,,,,,,,,,,,,,,,,,,,,,,,,,"$375,054"
84,Miguel Almonte,,,,"$91,516","$508,500","$535,000","$93,760",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,228,776"
85,Franklin Barreto,,,,,,"$128,612","$263,700","$188,811","$210,581","$600,500",,,,,,,,,,,,,,,,,,,,,,,"$1,392,204"
86,Vince Velasquez,,,,"$230,177","$516,000","$547,000","$559,000","$2,249,000","$1,333,333","$4,049,072","$3,000,000","$3,150,000",,"$32,258","$26,882",,,,,,,,,,,,,,,,,,"$15,692,722"
87,Jeff Hoffman,,,,,"$122,012","$318,607","$58,600","$199,928","$210,556","$585,500","$925,000","$1,600,000","$2,200,000","$11,500,000","$11,000,000","$11,000,000",,,,,,,,,,,,,,,,,"$39,720,203"
88,Orlando Arcia,,,,,"$171,926","$538,100","$472,413","$565,700","$814,815","$1,043,041","$1,600,000","$2,300,000","$2,000,000","$3,429,244","$180,468",,,,,,,,,,,,,,,,,,"$13,115,707"
89,Eduardo Rodriguez,,,,"$360,519","$241,995","$584,500","$2,375,000","$4,325,000","$3,074,074","$8,300,000","$14,000,000","$14,000,000","$14,000,000","$20,000,000","$21,000,000","$19,000,000","$6,000,000",,,,,,,,,,,,,,,,"$127,261,088"
90,Stephen Piscotty,,,,"$210,765","$512,500","$3,000,000","$1,000,000","$7,000,000","$2,592,592","$7,250,000","$8,250,000",,,,,,,,,,,,,,,,,,,,,,"$29,815,857"
91,Frankie Montas,,,,"$94,289","$334,419","$232,023","$208,030","$319,120","$212,407","$1,800,000","$5,025,000","$7,500,000","$16,000,000","$17,000,000","$17,000,000",,,,,,,,,,,,,,,,,,"$65,725,288"
92,Alen Hanson,,,,,"$105,374","$716,082","$457,080","$86,536",,,,,,,,,,,,,,,,,,,,,,,,,"$1,365,072"
93,Christian Bethancourt,,"$58,907","$500,000","$310,601","$511,200","$541,800",,,,,"$1,026,910","$1,350,000","$2,069,860",,,,,,,,,,,,,,,,,,,,"$6,369,278"
94,Lucas Sims,,,,,,"$181,226","$146,500","$229,768","$213,889","$598,500","$1,200,000","$1,267,500","$2,850,000","$3,000,000","$184,483",,,,,,,,,,,,,,,,,,"$9,871,866"
95,Grant Holmes,,,,,,,,"$555,000",,,,,"$417,690","$770,000","$800,000",,,,,,,,,,,,,,,,,,"$2,542,690"
96,Rafael Devers,,,,,,"$535,000","$564,500","$614,500","$256,481","$4,575,000","$11,200,000","$22,500,000","$25,000,000","$32,418,414","$25,000,000","$23,500,000","$23,500,000","$23,500,000","$23,500,000","$21,500,000","$21,500,000","$21,500,000","$7,500,000","$7,499,999","$7,500,000","$7,500,000","$7,500,000","$7,500,000","$7,500,000","$7,500,000","$7,500,000","$7,500,000","$356,163,894"
97,Chi Chi González,,,,"$191,352","$509,500","$537,000",,"$205,896","$628,810","$1,100,000","$115,380","$42,581",,,,,,,,,,,,,,,,,,,,,"$3,330,519"
98,Touki Toussaint,,,,,,,"$90,830","$271,544","$105,910","$568,325","$945,779","$406,455","$1,300,000","$26,882",,,,,,,,,,,,,,,,,,,"$3,715,725"
99,Manuel Margot,,,,,"$33,276","$535,600","$556,900","$577,100","$916,667","$3,400,000","$5,600,000","$7,000,000","$10,000,000","$2,000,000",,,,,,,,,,,,,,,,,,,"$30,619,543"
100,Steven Moya,,,,,"$210,748.00","$58,460.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$269,208"
