Rank,Name,Position,DOB,Highest Level,Age,Career WAR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,Career Earnings
23,Jonathan Singleton,,,,,,,,,,,"$1,500,000.00","$2,000,000.00","$2,000,000.00","$2,000,000.00","$936,170.00","$500,000.00","$250,000.00","$250,000.00",,"$263,228.00","$850,000.00","$303,492.00",,,,,,,,,,,,,,,,,,"$10,852,890"
24,Jake Odorizzi,,,,,,,,,"$480,000.00","$66,939.00","$503,100.00","$522,000.00","$520,700.00","$4,100,000.00","$6,300,000.00","$9,500,000.00","$6,592,593.00","$8,000,000.00","$7,500,000.00","$14,500,000.00",,,,,,,,,,,,,,,,,,,,"$58,585,332"
25,Matt Barnes,,,,,,,,,,,,"$238,967.00","$511,000.00","$563,500.00","$605,000.00","$1,600,000.00","$1,148,148.00","$4,500,000.00","$9,000,000.00","$7,500,000.00","$3,311,460.00",,,,,,,,,,,,,,,,,,,"$28,978,075"
26,Mason Williams,,,,,,,,,,,,"$321,693.00","$52,915.00","$535,000.00","$196,310.00","$80,568.00","$52,955.00","$383,375.00",,,,,,,,,,,,,,,,,,,,,,"$1,622,816"
27,Chris Archer,,,,,,,,,"$91,805.00","$326,666.00","$1,500,000.00","$1,000,000.00","$2,750,000.00","$4,750,000.00","$6,250,000.00","$7,500,000.00","$3,583,333.00","$6,500,000.00","$3,500,000.00",,,,,,,,,,,,,,,,,,,,,"$37,751,804"
28,Gary Sanchez,,,,,,,,,,,,"$58,237.00","$171,926.00","$557,900.00","$620,400.00","$669,800.00","$1,851,852.00","$6,350,000.00","$9,000,000.00","$1,500,000.00","$7,000,000.00","$8,500,000.00","$1,750,000.00",,,,,,,,,,,,,,,,,"$38,030,115"
29,Aaron Sanchez,,,,,,,,,,,"$188,524.00","$510,800.00","$492,420.00","$535,000.00","$2,700,000.00","$3,900,000.00",,"$4,000,000.00","$526,368.00",,,,,,,,,,,,,,,,,,,,,"$12,853,112"
30,David Dahl,,,,,,,,,,,,,"$507,500.00","$316,872.00","$452,421.00","$560,000.00","$916,667.00","$2,700,000.00",,"$336,000.00","$255,376.00",,,,,,,,,,,,,,,,,,,"$6,044,836"
31,George Springer,,,,,,,,,,,"$453,512.00","$512,900.00","$522,400.00","$3,900,000.00","$12,000,000.00","$12,000,000.00","$7,777,778.00","$32,000,000.00","$28,000,000.00","$22,500,000.00","$22,500,000.00","$22,550,000.00","$22,500,000.00",,,,,,,,,,,,,,,,,"$187,216,590"
32,Jedd Gyorko,,,,,,,,,,"$490,000.00","$510,900.00","$2,000,000.00","$4,000,000.00","$4,500,000.00","$11,500,000.00","$13,999,999.00","$1,370,370.00",,,,,,,,,,,,,,,,,,,,,,,"$38,371,269"
33,Hak-Ju Lee,,,,,,,,,,,"$500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$500,000"
34,Gary Brown,,,,,,,"$1,450,000.00",,,,"$71,038.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,521,038"
35,Mike Olt,,,,,,,"$717,300.00",,"$165,245.00",,"$384,043.00","$79,562.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,346,150"
36,Lucas Giolito,,,,,,,,,,,,,"$108,147.00","$119,843.00","$555,000.00","$573,000.00","$232,222.00","$4,150,000.00","$7,450,000.00","$10,400,000.00","$18,000,000.00","$20,500,000.00","$1,500,000.00","$1,500,000.00",,,,,,,,,,,,,,,,"$65,088,212"
37,Jake Marisnick,,,,,,,,,,"$184,782.00","$500,000.00","$511,200.00","$519,500.00","$1,100,000.00","$1,900,000.00","$2,212,500.00","$1,226,852.00","$1,500,000.00","$1,300,000.00","$680,097.00",,,,,,,,,,,,,,,,,,,,"$11,634,931"
38,Kolten Wong,,,,,,,,,,"$120,491.00","$377,049.00","$520,000.00","$1,250,000.00","$2,500,000.00","$4,000,000.00","$6,500,000.00","$4,796,296.00","$3,000,000.00","$8,000,000.00","$12,616,130.00","$2,500,000.00",,,,,,,,,,,,,,,,,,,"$46,179,966"
39,Andrew Heaney,,,,,,,,,,,"$123,278.00","$286,627.00","$515,000.00","$543,000.00","$800,000.00","$3,400,000.00","$1,592,593.00","$6,750,000.00","$8,500,000.00","$12,000,000.00","$13,000,000.00","$5,300,000.00",,,,,,,,,,,,,,,,,,"$52,810,498"
40,Lucas Sims,,,,,,,,,,,,,,"$181,226.00","$146,500.00","$229,768.00","$213,889.00","$598,500.00","$1,200,000.00","$1,267,500.00","$2,850,000.00","$3,000,000.00","$184,483.00",,,,,,,,,,,,,,,,,"$9,871,866"
41,Michael Wacha,,,,,,,,,,"$166,010.00","$175,573.00","$520,000.00","$539,000.00","$2,775,000.00","$5,300,000.00","$6,350,000.00","$1,666,666.00","$3,000,000.00","$7,000,000.00","$8,000,000.00","$16,450,000.00","$18,000,000.00","$18,000,000.00","$14,000,000.00","$1,000,000.00",,,,,,,,,,,,,,,"$102,942,249"
42,Tony Cingrani,,,,,,,,,"$480,000.00","$490,000.00","$232,445.00","$74,661.00","$530,000.00","$1,825,000.00","$2,300,000.00","$2,650,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$8,582,106"
43,Allen Webster,,,,,,,,,,"$117,814.00","$177,595.00","$135,887.00",,,"$35,160.00","$650,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$1,116,456"
44,Julio Teheran,,,,,,,,"$85,967.00","$480,000.00","$490,000.00","$1,800,000.00","$1,000,000.00","$3,300,000.00","$6,300,000.00","$8,000,000.00","$12,000,000.00","$3,333,333.00","$3,000,000.00",,"$1,500,000.00","$120,968.00",,,,,,,,,,,,,,,,,,,"$41,410,268"
45,Trevor Story,,,,,,,,,,,,,"$507,500.00","$540,000.00","$555,000.00","$5,000,000.00","$4,962,963.00","$17,500,000.00","$20,000,000.00","$20,000,000.00","$22,500,000.00","$22,500,000.00","$25,000,000.00","$25,000,000.00","$5,000,000.00",,,,,,,,,,,,,,,"$169,065,463"
46,Daniel Corcino,,,,,,,,,,,"$90,163.00",,,,"$14,650.00",,,,,,,,,,,,,,,,,,,,,,,,,"$104,813"
47,Casey Kelly,,,,,,,,,,"$491,400.00","$501,400.00","$55,464.00","$507,500.00",,"$123,060.00",,,,,,"$19,890.00","$28,602.00",,,,,,,,,,,,,,,,,,"$1,727,316"
48,Danny Hultzen,,,,,,,,"$1,700,000.00","$1,700,000.00","$1,700,000.00","$1,700,000.00","$1,700,000.00",,,,"$68,632.00",,,,,,,,,,,,,,,,,,,,,,,,"$8,568,632"
49,Kyle Crick,,,,,,,,,,,,,,"$535,000.00","$501,030.00","$581,500.00","$218,519.00","$494,615.00","$1,250,000.00",,,,,,,,,,,,,,,,,,,,,"$3,580,664"
50,Lewis Brinson,,,,,,,,,,,,,,"$67,229.00","$545,000.00","$272,785.00","$214,815.00","$587,500.00","$80,766.00",,,,,,,,,,,,,,,,,,,,,"$1,768,095"
51,Martin Perez,,,,,,,,,"$480,000.00","$384,459.00","$1,750,000.00","$1,000,000.00","$2,900,000.00","$4,400,000.00","$6,000,000.00","$4,750,000.00","$2,922,222.00","$5,000,000.00","$4,000,000.00","$19,650,000.00","$8,000,000.00","$5,000,000.00","$3,314,312.00",,,,,,,,,,,,,,,,,"$69,550,993"
52,Rymer Liriano,,,,,,,,,,,"$133,879.00",,"$508,500.00","$87,690.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$730,069"
53,Brian Goodwin,,,,,,,,,,,,,"$119,239.00","$535,000.00","$553,900.00","$583,500.00","$814,814.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,,,,"$3,606,453"
54,Wily Peralta,,,,,,,,,"$480,000.00","$490,000.00","$515,000.00","$525,500.00","$2,800,000.00","$4,275,000.00","$1,500,000.00","$2,275,000.00","$1,000,000.00","$1,500,000.00","$2,311,852.00",,,,,,,,,,,,,,,,,,,,,"$17,672,352"
55,Jorge Soler,,,,,,,,,"$7,000,000.00","$1,000,000.00","$2,000,000.00","$2,000,000.00","$3,000,000.00","$3,000,000.00","$4,000,000.00","$4,000,000.00","$2,703,704.00","$8,250,027.00","$12,000,000.00","$19,000,000.00","$21,962,341.00","$13,000,000.00","$13,000,000.00",,,,,,,,,,,,,,,,,"$115,916,072"
56,Max Fried,,,,,,,,,,,,,,"$143,227.00","$293,000.00","$565,000.00","$216,111.00","$3,500,000.00","$6,850,000.00","$13,500,000.00","$15,000,000.00","$22,000,000.00","$22,000,000.00","$29,000,000.00","$29,000,000.00","$29,000,000.00","$29,000,000.00","$29,000,000.00","$29,000,000.00",,,,,,,,,,,"$258,067,338"
57,Ronald Guzman,,,,,,,,,,,,,,"$535,000.00","$501,030.00","$447,052.00","$126,750.00","$606,000.00","$11,538.00",,,,,,,,,,,,,,,,,,,,,"$2,227,370"
58,Daniel Norris,,,,,,,,,,,,"$252,959.00","$340,131.00","$545,500.00","$561,400.00","$1,275,000.00","$1,097,222.00","$3,475,000.00","$2,450,000.00","$286,454.00",,,,,,,,,,,,,,,,,,,,"$10,283,666"
59,Adalberto Mondesi,,,,,,,,,,,,,"$191,337.00","$149,736.00","$310,580.00","$576,000.00","$223,889.00","$2,525,000.00","$3,000,000.00","$3,045,000.00",,,,,,,,,,,,,,,,,,,,"$10,021,542"
60,Patrick Corbin,,,,,,,,,"$275,415.00","$494,000.00","$515,000.00","$524,000.00","$2,525,000.00","$3,950,000.00","$7,500,000.00","$15,000,000.00","$7,037,037.00","$24,000,000.00","$23,000,000.00","$24,000,000.00","$25,000,000.00","$12,500,000.00","$946,524.00",,,,,,,,,,,,,,,,,"$147,266,976"
61,Cody Buckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
62,Matt Davidson,,,,,,,,,,"$133,879.00",,,"$507,500.00","$537,000.00","$570,000.00",,"$212,962.00",,"$96,152.00",,,,,,,,,,,,,,,,,,,,,"$2,057,493"
63,Michael Choice,,,,,,,,,,"$80,327.00","$96,010.00","$5,598.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$181,935"
64,Trevor Bauer,,,,,,,,"$900,000.00","$1,183,333.00","$2,175,000.00","$2,425,000.00","$1,940,000.00","$1,697,500.00","$3,550,000.00","$6,525,000.00","$13,000,000.00","$6,481,481.00","$38,000,000.00","$3,868,131.00","$22,537,634.00",,,,,,,,,,,,,,,,,,,,"$104,283,079"
65,Yordano Ventura,,,,,,,,,,"$37,486.00","$500,500.00","$1,750,000.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,287,986"
66,Jesse Biddle,,,,,,,,,,,,,"$507,500.00",,"$486,380.00","$908,870.00","$108,070.00","$92,010.00",,,,,,,,,,,,,,,,,,,,,,"$2,102,830"
