Rank,Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Career
54,Carlos Carrasco,,,"$74,324.00","$72,138.00","$415,800.00","$488,500.00","$214,207.00","$504,700.00","$2,337,500.00","$4,500,000.00","$6,500,000.00","$8,000,000.00","$9,750,000.00","$3,796,296.00","$12,000,000.00","$12,000,000.00","$14,000,000.00","$2,000,000.00","$1,637,097.00","$145,662.00",,"$78,436,224.00"
55,Chin-Lung Hu,,"$390,000.00","$401,000.00","$401,000.00","$420,000.00",,,,,,,,,,,,,,,,,"$1,612,000.00"
56,Nick Blackburn,,"$390,000.00","$440,000.00","$750,000.00","$3,000,000.00","$4,750,000.00","$5,500,000.00",,,,,,,,,,,,,,,"$14,830,000.00"
57,Dan Cortes,,,,,,,,,,,,,,,,,,,,,,$0.00
58,Chris Volstad,,,,,,,"$1,500,000.00",,"$11,092.00",,"$70,152.00","$310,580.00",,,,,,,,,,"$1,891,824.00"
59,Desmond Jennings,,,,"$400,000.00","$414,000.00","$486,900.00","$501,800.00","$517,000.00","$3,100,000.00","$3,300,000.00",,,,,,,,,,,,"$8,719,700.00"
60,Fautino De Los Santos,,,,,,,,,,,,,,,,,,,,,,$0.00
61,Neil Walker,,,,,,,"$490,000.00",,,,,,,"$1,000,000.00",,,,,,,,"$1,490,000.00"
62,Carlos Triunfel,,,,,,,"$160,655.00",,,,,,,,,,,,,,,"$160,655.00"
63,Luke Hochevar,,,,,,,,,,"$5,000,000.00",,,,,,,,,,,,"$5,000,000.00"
64,Justin Masterson,,,,,,,,"$9,762,500.00",,,,,,,,,,,,,,"$9,762,500.00"
65,Chris Davis,,,,,,,,,,,,,,,,"$23,000,000.00",,,,,,"$23,000,000.00"
66,Max Scherzer,"$950,000.00","$950,000.00","$1,450,000.00","$950,000.00","$600,000.00","$3,750,000.00","$6,725,000.00","$15,525,000.00","$15,175,000.00","$15,100,000.00","$15,175,000.00","$15,100,000.00","$15,100,000.00","$15,000,000.00","$15,100,000.00","$58,333,333.00","$58,333,333.00","$58,333,333.00","$30,500,000.00","$18,000,000.00",,"$360,149,999.00"
67,Chris Tillman,,,"$146,448.00","$400,000.00","$417,000.00","$480,000.00","$508,500.00","$546,000.00","$4,315,000.00","$6,225,000.00",,,,,,,,,,,,"$13,037,948.00"
68,Brett Sinkbeil,,,,,,,,,,,,,,,,,,,,,,$0.00
69,Radhames Liz,,,"$402,500.00","$422,500.00",,,,,"$355,191.00",,,,,,,,,,,,,"$1,180,191.00"
70,Brandon Jones,,,,,,,,,,,,,,"$2,018,880.00","$831,504.00","$1,053,008.00","$2,743,000.00","$6,985,000.00","$7,168,820.00",,,"$20,800,212.00"
71,Chuck Lofgren,,,,,,,,,,,,,,,,,,,,,,$0.00
72,Manny Parra,"$380,000.00","$390,000.00","$426,000.00","$440,000.00","$1,200,000.00","$1,200,000.00","$1,000,000.00","$2,000,000.00","$3,500,000.00",,,,,,,,,,,,,"$10,536,000.00"
73,Jed Lowrie,,,,,,,,,,,,,,,,"$850,000.00",,,,,,"$850,000.00"
74,Dexter Fowler,,,,,,,,,,,,,,,"$16,500,000.00",,,,,,,"$16,500,000.00"
75,Tyler Colvin,,,,,,,"$448,087.00","$2,275,500.00",,,,,,,,,,,,,,"$2,723,587.00"
76,Adrian Cardenas,,,,,,"$480,000.00",,,,,,,,,,,,,,,,"$480,000.00"
