Rank,Name,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Total
72,Mike Leake,,,,"$400,000.00","$425,000.00","$507,500.00","$3,060,000.00","$5,925,000.00","$9,775,000.00","$12,000,000.00","$27,295,089.00","$17,000,000.00","$16,000,000.00","$5,000,000.00",,,,,,,,,,,,,,,,,,,,,"$97,387,589"
73,Jio Mier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
74,Brett Jackson,,,,,,"$157,377.00",,"$46,448.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$203,825"
75,Josh Reddick,,,,"$400,000.00","$417,500.00","$485,000.00","$510,000.00","$2,700,000.00","$4,100,000.00","$6,575,000.00","$13,000,000.00","$13,000,000.00","$13,000,000.00","$4,814,815.00","$310,464.00",,,,,,,,,,,,,,,,,,,,"$59,312,779"
76,Austin Jackson,,,,,,,,,,,,,,"$8,235,148.00","$1,230,016.00","$1,850,032.00","$7,064,480.00","$8,590,580.00","$11,115,000.00","$7,000,000.00",,,,,,,,,,,,,,,"$45,085,256"
77,Fernando Martinez,,,,,,,"$99,677.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$99,677"
78,Chad James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
79,Tony Sanchez,,,,,,,"$176,721.00","$213,327.00","$33,967.00","$16,638.00","$52,614.00",,,,,,,,,,,,,,,,,,,,,,,,"$493,267"
80,Mike Moustakas,,,,,"$251,114.00","$487,250.00","$524,500.00","$549,000.00","$2,700,000.00","$5,600,000.00","$8,700,000.00","$7,700,000.00","$11,050,000.00","$4,444,444.00","$14,000,000.00","$16,000,000.00","$22,716,135.00",,,,,,,,,,,,,,,,,,"$94,722,443"
81,Travis d'Arnaud,,,,,,,"$117,814.00","$457,707.00","$525,424.00","$542,604.00","$1,875,000.00","$3,475,000.00","$1,289,058.00","$2,962,963.00","$8,000,000.00","$8,000,000.00","$8,000,000.00","$8,000,000.00","$6,000,000.00","$6,000,000.00",,,,,,,,,,,,,,,"$55,245,570"
82,Jaff Decker,,,,,,,"$56,229.00","$21,857.00","$429,180.00","$85,963.00","$535,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$1,128,229"
83,Adam Moore,,,,,,,"$24,098.00","$73,770.00","$27,732.00","$97,055.00",,"$108,410.00",,,,,,,,,,,,,,,,,,,,,,,"$331,065"
84,Hank Conger,,,,,"$414,000.00","$480,000.00","$495,000.00","$517,500.00","$1,075,000.00","$1,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$4,481,500"
85,Mike Trout,,,,,"$149,292.00","$482,500.00","$510,000.00","$1,000,000.00","$5,250,000.00","$15,250,000.00","$19,250,000.00","$33,250,000.00","$36,000,000.00","$13,433,333.00","$35,500,000.00","$35,550,000.00","$35,450,000.00","$35,450,000.00","$35,450,000.00","$35,450,000.00","$35,450,000.00","$35,450,000.00","$35,450,000.00","$35,450,000.00",,,,,,,,,,,"$479,225,125"
86,Austin Romine,,,,,"$40,721.00","$482,000.00","$417,704.00","$97,503.00","$554,100.00","$556,000.00","$805,000.00","$1,100,000.00","$1,800,000.00","$1,537,037.00","$2,000,000.00","$396,140.00",,,,,,,,,,,,,,,,,,,"$9,786,205"
87,Lars Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
88,Wilmer Flores,,,,,,,"$147,267.00","$327,868.00","$513,543.00","$526,014.00","$2,200,000.00","$3,400,000.00","$4,250,000.00","$1,111,111.00","$3,000,000.00","$3,500,000.00","$6,500,000.00","$6,500,000.00","$3,500,000.00",,,,,,,,,,,,,,,,"$35,475,803"
89,Mat Gamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
90,James Darnell,,,,,,,"$493,700.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$493,700"
